-- Localization for Scrapworks
RM_7e5a6d9c-8b7f-4a6e-9d7e-9f8a6d5c7e8b = "What do we need?"
RM_5e6f9d7a-4a5b-4e8a-9d6e-8f7a6d5c7e8b = "Two metal pipes, one small metal sheet, some scrap, and a welding torch! Yeehaw!"
RM_1b5d9f7e-6a4b-4e9a-8d7e-7f6a5e8b9c7d = "Folks! Can you believe it?"
RM_8c7d5a9e-6b4a-4f8e-9d7e-9f6a7e5c8b9d = "Now how about some metal counters?"
RM_6e9d7a5c-4b5e-4a8e-9d7e-8f5a6c7e9b8d = "Someplace for your tools, your precious stuff?"
RM_2d8f7a6c-7b4e-4a9e-9d8e-9f6a5e7b8c9d = "TWO METAL PIPES, FOUR SMALL METAL SHEETS, AND TWO DOOR HINGES! GO!"
RM_4b7e9f6a-8a5d-4a9e-9d8e-7f5c6e7d9b8d = "Just gotta..."
RM_1e7a6c5b-5d4b-4a8e-9d7e-9f6a7e8b9c7d = "*Welding noises*"
RM_3e7f9a6d-6c5b-4a8e-9d7e-8f5a7c9e8b6d = "That's it."
RM_5e8d9f7a-4a7e-4a8e-9d7e-9f5c6d7e9b8a = "Oh hey, sick of folks seeing your valuables?"
RM_7f6a5e9d-8b7e-4a8f-9d7e-6f5a8d9c7b8e = "I was. The Yakuza broke in and stole some things."
RM_9e7c6a5b-6f4e-4a8e-9d7e-8f5a9b7e6c8d = "So I built me a metal crate."
RM_4f9d7e6a-5b4a-4a8e-9d7e-7f6a8c9e5b8d = "I was all: two metal pipes, one sheet, one small sheet, some scrap"
RM_3a8d9f7e-5a4b-4a8e-9d7e-8f6a7e5b9c8d = "And here she is! Don't forget a padlock folks!"
RM_2b7e9f6d-6c5a-4a8e-9d7e-9f5a7c8e6b9d = "So if you'll excuse me, I'll just..."
RM_6a8d9e7c-5f4b-4a8e-9d7e-8f7a6c5e9b8d = "Get comfy with my welding mask on..."
RM_7e5c8d9f-4a7e-4a8e-9d7e-9f5a6b7e8c9d = "Next time on Scrapworks? Advanced storage!"
RM_9f6d7a8c-8b7e-4a8e-9d7e-6f5a8e9d7c6b = "Can I hear a Wham-O?"

RM_9d5e7c6f-8b7a-4e9a-9d7e-7f5c6a7e5d8f = "VHS: Scrapworks E5"
RM_7e5a9d6f-8b7c-4a8e-9d7e-8f5a6c9e7d8f = "Episode 5: Advanced Storage"
RM_3e8a7d9f-6b5c-4e9a-9d7e-9f8a6c7e5b7d = "Well hey! You just caught me cleaning my gun!"
RM_8c7d5a9e-5b4f-4a8e-9d7e-6f8a7e6c9d5b = "I've got my trusty MSR700 right here"
RM_1c6e9d7a-7f5b-4a8e-9d7e-9f8a6c5d7e8f = "I'll just put it away..."
RM_7e9d6a5f-5b4e-4a8e-9d7e-8f5a7c9e8d6f = "But hey! There's no where to put it!"
RM_9f5c7d6e-8a7f-4a8e-9d7e-6f5a9c8e7b6d = "Guess this happened to just the right guy!"
RM_4d7a6e9c-5b8a-4e8e-9d7e-8f6a7c5d9e8f = "You know the drill!"
RM_6a9f7e5c-8b7f-4a8e-9d7e-7f5a6c8e9d7b = "Three metal pipes! Four small sheets! Two hinges!"
RM_3f9d8e6a-7a5f-4a8e-9d7e-9f6a7c5e8d9f = "Weld it up! Look at that nice gun locker."
RM_5e8a6d7c-6b7a-4e9a-9d7e-7f8a6c5d9e7b = "Now I don't read manuals, but some folks do."
RM_7d9a5c8e-4b8a-4e9a-9d7e-9f6a7c5e8d7f = "Tools need storage, so next up: a bigger locker."
RM_9c8a7d5e-6b4a-4e9a-9d7e-7f6a5c8e9d7f = "Something that'd look mighty fine in a workshop."
RM_8f7d6a5e-5b9f-4e8a-9d7e-9f6a7c5e8b7d = "A clever fixin' folk, with eight metal pipes, four small sheets, and two hinges."
RM_6e5a9f7c-7b8a-4e9a-9d7e-8f6a7c5d9e8b = "Now that's my best yet!"
RM_4a8d7e9c-5b7a-4e8e-9d7e-6f9a7c5e8b9f = "I'll put it here next to my gun locker."
RM_7e6f9a8d-6b5a-4e8e-9d7e-8f5a7c6d9e8b = "Well folks, it seems this is all the time we have!"
RM_5d9e6c7a-7a8f-4a8e-9d7e-9f6a7c5e8b7f = "Take care folks, and Wham-O!"





